Model;Img_size;GPU;Parametre Sayısı;Eğitim Süresi;Boyut;train_acc;train_loss;val_acc;val_loss;test_acc;test_loss;Test Veri Seti Eğitim Süresi;F1 Score;Recall;Precision;Load_Model
ResNet50;256*256;Local (1650 TI);57,668,997;85 dk;220 MB;0.9994;0.0023;0.9984;0.0038;0.9986;0.0033;67 saniye;0.9986;0.9986;0.9986;4.11 saniye
ResNet50;128*128;Local (1650 TI);32,109,957;25 dk;122 MB;0.9997;0.0023;0.9956;0.0100;0.9974;0.0097;22 saniye;0.9974;0.9974;0.9974;3.74 saniye
ResNet50;768*768;Colab (A100);330,298,757;57 dk;1.23 GB;0.9999;0.0012;0.9980;0.0053;0.9988;0.0022;77 saniye;0.9988;0.9988;0.9988;26.24 saniye
DenseNet121;256*256;Local (1650 TI);40,859,205;97 dk;156 MB;0.9969;0.0113;0.9994;0.0028;0.9980;0.0050;34 saniye;0.9980;0.9980;0.9980;6.97 saniye
DenseNet121;128*128;Local (1650 TI);15,496,773;26 dk;60 MB;0.9999;0.0016;0.9996;0.0019;0.9986;0.0040;23 saniye;0.9986;0.9986;0.9986;6.56 saniye
DenseNet121;768*768;Colab (A100);311,391,813;68 dk;1.16 GB;0.9999;0.0006;0.9984;0.0030;0.9998;0.0007;115 saniye;0.9998;0.9998;0.9998;27.87 saniye
VGG16;256*256;Local ( 1650 TI);31,628,101;130 dk;120 MB;0.9842;0.0441;0.9856;0.0439;0.9846;0.0444;58 saniye;0.9846;0.9846;0.9849;1.50 saniye
VGG16;128*128;Local ( 1650 );18,946,885;47 dk;72 MB;0.9813;0.0509;0.9924;0.0277;0.9912;0.0243;63 saniye;0.9912;0.9912;0.9912;1.43 saniye
VGG16;768*768;Colab (A100);166,894,405;86 dk;636 MB;0.9883;0.0358;0.9846;0.0358;0.9614;0.1259;58 saniye;0.9612;0.9614;0.9653;13.54 saniye
Xception;256*256;Local (1650 TI);88,499,757;133 dk;337 MB;0.9957;0.0129;0.9982;0.0056;0.9986;0.0044;64 saniye;0.9986;0.9986;0.9986;4.54 saniye
Xception;128*128;Local (1650);37,774,893;40 dk;144 MB;0.9987;0.0049;0.9966;0.0102;0.9960;0.0115;58 saniye;0.9960;0.9960;0.9960;3.17 saniye
Xception;768*768;Colab (A100);629,564,973;90 dk;2.35 GB;0.9803;0.0565;0.9948;0.0178;0.9922;0.0174;74 saniye;0.9922;0.9922;0.9923;51.32 saniye
EfficientNetB7;256*256;Colab (A100);106,698,652;29 dk;407 MB;0.9966;0.0115;0.9942;0.0220;0.9868;0.0421;19 saniye;0.9868;0.9868;0.9873;12.43 saniye
EfficientNetB7;128*128;Local(1650);29,383,725;41 dk;118 MB;0.9989;0.0058;0.9960;0.0135;0.9974;0.0087;78 saniye;0.9974;0.9974;0.9974;3.47 saniye
EfficientNetB7;768*768;Colab (A100);447,485,852;181 dk;1.67 GB;0.9555;0.1269;0.8112;0.6934;0.1684;2.190;75 saniye;0.0744;0.1684;0.0478;36.61 saniye
Lighter_DenseNet121;128*128;Local(1650 TI);1,581,125;18 dk;6.41 MB;0.9987;0.0060;0.9987;0.0054;0.9986;0.0059;16 saniye;0.9986;0.9986;0.9986;3.39 saniye
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;; ;;;;;
